precio,marca,producto,Ean,Url,Categ
"$379,00",Autopolish,Polish Autopolish lustre intenso 450 cc.,7790715013121,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=7010&p=2,Hogar y bazar/Automotor/Lavado y estética/¡¡CYBER MONDAY!!/Cyber Automotor/30% Off en accesorios para automotor/¡¡GIGANTE!!/30% Off/Limpieza de automotor
"$190,00",Revigal,Revividor de color para autos Revigal negro 490 cc.,7790911000048,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=7010&p=2,Hogar y bazar/Automotor/Lavado y estética/¡¡CYBER MONDAY!!/Cyber Automotor/30% Off en accesorios para automotor/¡¡GIGANTE!!/30% Off/Limpieza de automotor
"$449,00",Revigal,Aromatizante en gel Revigal limón 1 u.,7790911005050,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=7010&p=2,Hogar y bazar/Automotor/Fragancias/¡¡CYBER MONDAY!!/Cyber Automotor/30% Off en accesorios para automotor/¡¡GIGANTE!!/30% Off/Limpieza de automotor
"$339,00",Revigal,Aromatizador para autos Revigal instant acqua 100 cc.,7790911004862,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=7010&p=2,Hogar y bazar/Automotor/Fragancias/¡¡CYBER MONDAY!!/Cyber Automotor/30% Off en accesorios para automotor/¡¡GIGANTE!!/30% Off/Limpieza de automotor
"$1.225,00",Huggies,Pañales Huggies Natural Care talle G ellas 44 u.,7794626009297,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6894&p=2,Mundo bebé/Pañales/Huggies/¡¡CYBER MONDAY!!/Mundo bebé/Pañales/40% Off en Supermercado/Pañales/40%Carrusel
"$119,40
Por unidad
                                                                Llevando 2",Cat Chow,Alimento para gatos Cat Chow 1 kg. peso saludable,7613035696440,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=7005&p=2,Mascotas/Alimentos para gatos/¡¡CYBER MONDAY!!/2do al 80% en Dog chow y Cat chow/¡¡BLACK CARREFOUR!!/2do al 80% en productos iguales/Alimento para mascotas
"$205,00",Scott,Paño Scott Duramax semi-desechables rollo 1u.,7702425679207,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6957&p=2,Limpieza/Limpieza del hogar/Trapos y paños/Artículos de limpieza/Trapos y paños/¡¡CYBER MONDAY!!/50% Off en Supermercado/Limpieza
"$1.261,00",Huggies,Pañales Huggies Natural Care talle XXG ellos 34 u.,7794626996818,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6894&p=2,Mundo bebé/Pañales/Huggies/¡¡CYBER MONDAY!!/Mundo bebé/Pañales/40% Off en Supermercado/Pañales
"$1.115,00",Pampers,Pañales Pampers Confort Sec talle P 56 u.,7500435133234,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6894&p=2,Mundo bebé/Pañales/Pampers/¡¡CYBER MONDAY!!/30% Off en Supermercado/Mundo bebé/Pañales/Pañales/Pampers/Procter
"$1.116,00",Huggies,Pañales Huggies Active Sec talle XG+ baby pants 34 u.,7794626009143,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6894&p=2,Mundo bebé/Pañales/Huggies/¡¡CYBER MONDAY!!/50% Off en Supermercado/Pañales/Mundo bebé/Pañales
"$1.261,00",Huggies,Pañales Huggies Natural Care talle XXG ellas 34 u.,7794626996801,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6894&p=2,Mundo bebé/Pañales/Huggies/¡¡CYBER MONDAY!!/Mundo bebé/Pañales/40% Off en Supermercado/Pañales
"$1.261,00",Huggies,Pañales Huggies Natural Care talle XG ellos 36 u.,7794626996795,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6894&p=2,Mundo bebé/Pañales/Huggies/¡¡CYBER MONDAY!!/Mundo bebé/Pañales/40% Off en Supermercado/Pañales
"$534,00",Huggies,Pañales Huggies Natural Care recién nacido talle P ellos 34 u.,7794626008214,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6894&p=2,Mundo bebé/Pañales/Huggies/¡¡CYBER MONDAY!!/Mundo bebé/Pañales/40% Off en Supermercado/Pañales
"$1.225,00",Huggies,Pañales Huggies Natural Care talle G ellos 44 u.,7794626009303,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6894&p=2,Mundo bebé/Pañales/Huggies/¡¡CYBER MONDAY!!/Mundo bebé/Pañales/40% Off en Supermercado/Pañales
"$292,00",Johnson's Baby,Toallitas húmedas Johnson's Baby hora del sueño 96 u.,7891010589622,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6894&p=2,Mundo bebé/Toallitas húmedas/¡¡CYBER MONDAY!!/30% Off en Supermercado/Mundo bebé/Toallitas húmedas
"$292,00",Johnson's Baby,Toallitas húmedas Johnson's Baby desde el primer día 96 u.,7891010589639,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6894&p=2,Mundo bebé/Toallitas húmedas/¡¡CYBER MONDAY!!/30% Off en Supermercado/Mundo bebé/Toallitas húmedas
